bed,aimedat,average,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
o20,d20,86.85,,
