bed,aimedat,average,,,min 50 darts at double
o6,d6,97.27,,,
o6,d6,97.27,,,
o6,d6,97.27,,,
o6,d6,97.27,,,
o6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
m6,d6,97.27,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
d6,d6,91.81,,,
o6,d6,91.81,,,
o6,d6,91.81,,,
o6,d6,91.81,,,
o6,d6,91.81,,,
o6,d6,91.81,,,
o6,d6,91.81,,,
o6,d6,91.81,,,
o6,d6,91.81,,,
o6,d6,91.81,,,
o6,d6,91.81,,,
o6,d6,91.81,,,
o6,d6,91.81,,,
o6,d6,91.81,,,
o6,d6,91.81,,,
o6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
m6,d6,91.81,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
d6,d6,91.09,,,
o6,d6,91.09,,,
o6,d6,91.09,,,
o6,d6,91.09,,,
o6,d6,91.09,,,
o6,d6,91.09,,,
o6,d6,91.09,,,
o6,d6,91.09,,,
o6,d6,91.09,,,
o6,d6,91.09,,,
o6,d6,91.09,,,
o6,d6,91.09,,,
o6,d6,91.09,,,
o6,d6,91.09,,,
m6,d6,91.09,,,
m6,d6,91.09,,,
m6,d6,91.09,,,
m6,d6,91.09,,,
m6,d6,91.09,,,
m6,d6,91.09,,,
m6,d6,91.09,,,
m6,d6,91.09,,,
m6,d6,91.09,,,
m6,d6,91.09,,,
m6,d6,91.09,,,
m6,d6,91.09,,,
d10,d6,91.09,,,
o13,d6,91.09,,,
d13,d6,91.09,,,
d13,d6,91.09,,,
d13,d6,91.09,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
d6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
o6,d6,94.25,,,
m6,d6,94.25,,,
m6,d6,94.25,,,
m6,d6,94.25,,,
m6,d6,94.25,,,
m6,d6,94.25,,,
m6,d6,94.25,,,
m6,d6,94.25,,,
m6,d6,94.25,,,
d10,d6,94.25,,,
d10,d6,94.25,,,
d13,d6,94.25,,,
o13,d6,94.25,,,
d13,d6,94.25,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
d6,d6,93.43,,,
o6,d6,93.43,,,
o6,d6,93.43,,,
o6,d6,93.43,,,
o6,d6,93.43,,,
o6,d6,93.43,,,
o6,d6,93.43,,,
o6,d6,93.43,,,
o6,d6,93.43,,,
o6,d6,93.43,,,
o6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
m6,d6,93.43,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
d6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
o6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
m6,d6,96.11,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
d6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
o6,d6,98.64,,,
