bed,aimedat,average,,min 20  darts at double
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
o7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
m7,d7,97.03,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
d7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
o7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
m7,d7,100.26,,
