bin,double,hit_double,miss_inside,miss_outside,neighbor_singledouble,other,samples
60-69,d4,0.15,0.15,0.47000000000000003,0.0,0.22999999999999998,0
60-69,d5,0.125,0.1875,0.5825,0.0,0.10499999999999998,0
60-69,d6,0.36899654500535545,0.21033448499821483,0.02,0.0,0.40066896999642965,0
60-69,d7,0.36899654500535545,0.21033448499821483,0.02,0.0,0.40066896999642965,0
60-69,d8,0.2222222222222222,0.2777777777777778,0.35333333333333333,0.0,0.14666666666666672,0
60-69,d9,0.36899654500535545,0.21033448499821483,0.02,0.0,0.40066896999642965,0
60-69,d10,0.17391304347826086,0.21739130434782608,0.4982608695652174,0.0,0.11043478260869566,0
60-69,d11,0.36899654500535545,0.21033448499821483,0.02,0.0,0.40066896999642965,0
60-69,d12,0.36899654500535545,0.21033448499821483,0.02,0.0,0.40066896999642965,0
60-69,d13,0.36899654500535545,0.21033448499821483,0.02,0.0,0.40066896999642965,0
60-69,d14,0.36899654500535545,0.21033448499821483,0.02,0.0,0.40066896999642965,0
60-69,d15,0.36899654500535545,0.21033448499821483,0.02,0.0,0.40066896999642965,0
60-69,d16,0.3333333333333333,0.4166666666666667,0.27,0.0,0.0,0
60-69,d17,0.36899654500535545,0.21033448499821483,0.02,0.0,0.40066896999642965,0
60-69,d18,0.36899654500535545,0.21033448499821483,0.02,0.0,0.40066896999642965,0
60-69,d19,0.36899654500535545,0.21033448499821483,0.02,0.0,0.40066896999642965,0
60-69,d20,0.31666666666666665,0.23333333333333334,0.33666666666666667,0.0,0.11333333333333329,0
60-69,ibull,0.21875,0.4375,0.02,0.34375,0.0,0
70-79,d1,0.05714285714285714,0.2857142857142857,0.2771428571428572,0.0,0.3799999999999999,0
70-79,d2,0.03125,0.125,0.5825,0.0,0.26125,0
70-79,d3,0.3954035518178277,0.20153214939405745,0.02,0.0,0.38306429878811477,0
70-79,d4,0.15,0.15,0.47000000000000003,0.0,0.22999999999999998,0
70-79,d5,0.125,0.1875,0.5825,0.0,0.10499999999999998,0
70-79,d6,0.3954035518178277,0.20153214939405745,0.02,0.0,0.38306429878811477,0
70-79,d7,0.3954035518178277,0.20153214939405745,0.02,0.0,0.38306429878811477,0
70-79,d8,0.2222222222222222,0.2777777777777778,0.35333333333333333,0.0,0.14666666666666672,0
70-79,d9,0.3954035518178277,0.20153214939405745,0.02,0.0,0.38306429878811477,0
70-79,d10,0.17391304347826086,0.21739130434782608,0.4982608695652174,0.0,0.11043478260869566,0
70-79,d11,0.3954035518178277,0.20153214939405745,0.02,0.0,0.38306429878811477,0
70-79,d12,0.3954035518178277,0.20153214939405745,0.02,0.0,0.38306429878811477,0
70-79,d13,0.3954035518178277,0.20153214939405745,0.02,0.0,0.38306429878811477,0
70-79,d14,0.3954035518178277,0.20153214939405745,0.02,0.0,0.38306429878811477,0
70-79,d15,0.3954035518178277,0.20153214939405745,0.02,0.0,0.38306429878811477,0
70-79,d16,0.3333333333333333,0.4166666666666667,0.27,0.0,0.0,0
